张黎明	中唱集团公司	8月 17日 ， 中国 华录 集团 总经理 	张黎明 	等一行 赴 	中唱 集团 公司 	现场 调研 经营 工作 	8月/NT 17日/NT ，/PU 中国/NR 华录/NN 集团/NN 总经理/NN 	张黎明/NR 	等一行/NR 赴/VV 	中唱/NR 集团/NN 公司/NN 	现场/NN 调研/VV 经营/NN 工作/NN 
张亚敏	四川省企业家协会	全国 工商联 副主席 、 四川省 政协 副主席 、 省 工商联 主席 陈放 先生 ， 中国 会展 经济 研究会 会长 袁再清 先生 ， 四川省 国资委 党委 委员 、 副主任 秦明 先生 ， 四川省 知识 产权局 副局长 杨早林 先生 ， 四川省 工商 行政 管理局 商标 分局 局长 周广平 先生 ， 四川省 发展 和 改革 委员会 调研员 	张亚敏 	女士 ， 四川省 经济 和 信息化 委员会 副 调研员 刘凯 先生 ， 省企联 特邀 副 会长 、 省政协 原 常委 、 省 农业厅 原 常务 副厅长 傅志康 先生 ， 省企联 特邀 副 会长 、 省政府 原 副秘书长 张晋川 先生 ， 省企联 顾问 、 省人大 常委会 法制 工作 委员会 原 主任 杨文 先生 ， 省企联 顾问 、 省 国 安厅 原 常务 副厅长 马方 元 先生 ， 省企联 顾问 、 省 国资委 原 副主任 李继郁 先生 ， 四川省 企业 联合会 、 	四川省 企业家 协会 	副会长 兼 秘书长 梁勤 先生 ， 四川省 质量 协会 驻 会 副会长 罗召贵 先生 等 领导 及 相关 政府 部门 负责人 出席 大会 	全国/NN 工商联/NN 副主席/NN 、/PU 四川省/NR 政协/NN 副主席/NN 、/PU 省/NN 工商联/NN 主席/NN 陈放/NR 先生/NN ，/PU 中国/NR 会展/NN 经济/NN 研究会/NN 会长/NN 袁再清/NR 先生/NN ，/PU 四川省/NR 国资委/NN 党委/NN 委员/NN 、/PU 副主任/NN 秦明/NR 先生/NN ，/PU 四川省/NR 知识/NN 产权局/NN 副局长/NN 杨早林/NR 先生/NN ，/PU 四川省/NR 工商/NN 行政/NN 管理局/NN 商标/NN 分局/NN 局长/NN 周广平/NR 先生/NN ，/PU 四川省/NR 发展/NN 和/CC 改革/NN 委员会/NN 调研员/NN 	张亚敏/NR 	女士/NN ，/PU 四川省/NR 经济/NN 和/CC 信息化/NN 委员会/NN 副/JJ 调研员/NN 刘凯/NR 先生/NN ，/PU 省企联/NN 特邀/JJ 副/JJ 会长/NN 、/PU 省政协/NN 原/JJ 常委/NN 、/PU 省/NN 农业厅/NN 原/JJ 常务/JJ 副厅长/NN 傅志康/NR 先生/NN ，/PU 省企联/NN 特邀/JJ 副/JJ 会长/NN 、/PU 省政府/NN 原/JJ 副秘书长/NN 张晋川/NR 先生/NN ，/PU 省企联/NN 顾问/NN 、/PU 省人大/NR 常委会/NN 法制/NN 工作/NN 委员会/NN 原/JJ 主任/NN 杨文/NR 先生/NN ，/PU 省企联/NN 顾问/NN 、/PU 省/NN 国/NN 安厅/NN 原/AD 常务/JJ 副厅长/NN 马方/NR 元/NR 先生/NN ，/PU 省企联/NN 顾问/NN 、/PU 省/NN 国资委/NN 原/JJ 副主任/NN 李继郁/NR 先生/NN ，/PU 四川省/NR 企业/NN 联合会/NN 、/PU 	四川省/NR 企业家/NN 协会/NN 	副会长/NN 兼/CC 秘书长/NN 梁勤/NR 先生/NN ，/PU 四川省/NR 质量/NN 协会/NN 驻/VV 会/VV 副会长/NN 罗召贵/NR 先生/NN 等/ETC 领导/NN 及/CC 相关/JJ 政府/NN 部门/NN 负责人/NN 出席/VV 大会/NN 
张海波	文旅集团	7月 22日 至 24日 ， 市委 副书记 、 市长 	张海波 	到 市 产 投 集团 、 城投 集团 、 	文 旅 集团 	调研 市属 国有 企业 改革 发展 工作 ， 与 企业 领导 班子 共同 探讨 改革 后 的 发展 路径 ， 要求 找准 定位 ， 突出 主业 ， 理清 思路 ， 整合 各 类 资源 ， 理顺 管理 机制 ， 推动 企业 做 强 做 优 做 精 ， 努力 在 加快 新旧 动能 转换 、 推动 精致 城市 建设 上 发挥 更大 作用 	7月/NT 22日/NT 至/CC 24日/NT ，/PU 市委/NN 副书记/NN 、/PU 市长/NN 	张海波/NR 	到/P 市/NN 产/VV 投/NN 集团/NN 、/PU 城投/NN 集团/NN 、/PU 	文/NN 旅/NN 集团/NN 	调研/VV 市属/JJ 国有/JJ 企业/NN 改革/NN 发展/NN 工作/NN ，/PU 与/P 企业/NN 领导/NN 班子/NN 共同/AD 探讨/VV 改革/NN 后/LC 的/DEG 发展/NN 路径/NN ，/PU 要求/VV 找准/VV 定位/NN ，/PU 突出/VV 主业/NN ，/PU 理清/VV 思路/NN ，/PU 整合/VV 各/DT 类/M 资源/NN ，/PU 理顺/NN 管理/NN 机制/NN ，/PU 推动/VV 企业/NN 做/VV 强/VA 做/VV 优/NN 做/VV 精/NN ，/PU 努力/AD 在/P 加快/VV 新旧/JJ 动能/NN 转换/VV 、/PU 推动/VV 精致/JJ 城市/NN 建设/NN 上/LC 发挥/VV 更大/JJ 作用/NN 
马德利	日照市盐业公司	1月 16日 ， 日照市 国资委 党委 副书记 、 调研员 王雷 ， 副调研员 	马德利 	到 	日照市 盐业 公司 	召集 会议 ， 通报 盐业 改革 进展 情况 ， 安排 部署 当前 有关 工作 	1月/NT 16日/NT ，/PU 日照市/NR 国资委/NN 党委/NN 副书记/NN 、/PU 调研员/NN 王雷/NR ，/PU 副调研员/NN 	马德利/NR 	到/VV 	日照市/NR 盐业/NN 公司/NN 	召集/VV 会议/NN ，/PU 通报/VV 盐业/NN 改革/NN 进展/NN 情况/NN ，/PU 安排/VV 部署/VV 当前/NT 有关/JJ 工作/NN 
建研科技股份公司高性能混凝土研究中心	周永祥	会议 由 建委 科技处 调研员 徐东林 主持 ， 中国 建筑 科学 研究院 顾问 副总工程师 赵 基达 ， 华夏 建宇 （ 北京 ） 混凝土 技术 研究院 院长 路 来 军 ， 中国 建筑 标准 设计 研究院 钢结构 所 所长 王喆 ， 中国 新兴 建设 开发 有限 责任 公司 副总工程师 李栋 ， 	建 研 科技 股份 公司 高 性能 混凝土 研究 中心 	主任 	周永祥 	等 审查 专家 出席 会议 	会议/NN 由/P 建委/NN 科技处/NN 调研员/NN 徐东林/NR 主持/VV ，/PU 中国/NR 建筑/NN 科学/NN 研究院/NN 顾问/NN 副总工程师/NN 赵/NR 基达/VV ，/PU 华夏/NR 建宇/NR （/PU 北京/NR ）/PU 混凝土/NN 技术/NN 研究院/NN 院长/NN 路/NN 来/VV 军/NN ，/PU 中国/NR 建筑/NN 标准/NN 设计/VV 研究院/NN 钢结构/NN 所/MSP 所长/NN 王喆/NR ，/PU 中国/NR 新兴/JJ 建设/NN 开发/NN 有限/JJ 责任/NN 公司/NN 副总工程师/NN 李栋/NR ，/PU 	建/VV 研/VV 科技/NN 股份/NN 公司/NN 高/JJ 性能/NN 混凝土/NN 研究/NN 中心/NN 	主任/NN 	周永祥/NR 	等/VV 审查/NN 专家/NN 出席/VV 会议/NN 
肖亚庆	龙源电力南非可再生能源公司	作者 : 浏览 次数 ： 次 10月 14日 ， 国务院 国资委 主任 、 党委 副书记 	肖亚庆 	到 	龙源 电力 南非 可 再生 能源 公司 	调研 ， 集团 党组 成员 、 副总经理 高嵩 陪同 调研 	作者/NN :/PU 浏览/VV 次数/NN ：/PU 次/M 10月/NT 14日/NT ，/PU 国务院/NN 国资委/NN 主任/NN 、/PU 党委/NN 副书记/NN 	肖亚庆/NR 	到/VV 	龙源/NR 电力/NN 南非/NR 可/VV 再生/VV 能源/NN 公司/NN 	调研/VV ，/PU 集团/NN 党组/NN 成员/NN 、/PU 副总经理/NN 高嵩/NR 陪同/VV 调研/VV 
李保军	嘉祥县山东中材大力专用汽车有限公司	7月 4日 ， 市 国资委 党委 书记 、 主任 丰家 雷 带领 济宁市 国有 资产 投资 控股 有限 公司 董事长 虢洪增 、 市惠达 投资 公司 总经理 	李保军 	等 相关 负责 同志 赴 	嘉祥 县 山东 中材 大力 专用 汽车 有限 公司 	进行 考察 调研 	7月/NT 4日/NT ，/PU 市/NN 国资委/NN 党委/NN 书记/NN 、/PU 主任/NN 丰家/NN 雷/NR 带领/VV 济宁市/NR 国有/JJ 资产/NN 投资/NN 控股/NN 有限/JJ 公司/NN 董事长/NN 虢洪增/NR 、/PU 市惠达/NR 投资/NN 公司/NN 总经理/NN 	李保军/NR 	等/P 相关/JJ 负责/VV 同志/NN 赴/VV 	嘉祥/NN 县/NN 山东/NR 中材/NR 大力/AD 专用/VV 汽车/NN 有限/JJ 公司/NN 	进行/VV 考察/NN 调研/NN 
王晓昀	建工集团	1月 18日 ， 省 国资委 副主任 	王晓昀 	到 粤 水电 承建 的 粤东 区域 重点 工程 练 江 流域 环保 整治 工程 项目 调研 ， 潮 南区 区委 常委 、 常务 副区长 王楚彬 、 总 承包 事业部 副总经理 胡顺彬 、 粤海 水 务 集团 总经理 谭奇峰 、 	建工 集团 	副总经理 黄瑛鹏 、 粤 水电 副总经理 王伟导 、 副总工程师 、 工程 管理部 经理 石爱军 及 工程 建设 公司 粤东 区域 重点 工程 项目 部 相关 人员 参加 调研 	1月/NT 18日/NT ，/PU 省/NN 国资委/NN 副主任/NN 	王晓昀/NR 	到/P 粤/NR 水电/NN 承建/VV 的/DEC 粤东/NR 区域/NN 重点/NN 工程/NN 练/VV 江/NR 流域/NN 环保/NN 整治/NN 工程/NN 项目/NN 调研/VV ，/PU 潮/NN 南区/NR 区委/NN 常委/NN 、/PU 常务/JJ 副区长/NN 王楚彬/NR 、/PU 总/JJ 承包/NN 事业部/NN 副总经理/NN 胡顺彬/NR 、/PU 粤海/NR 水/NN 务/VV 集团/NN 总经理/NN 谭奇峰/NR 、/PU 	建工/NR 集团/NN 	副总经理/NN 黄瑛鹏/NR 、/PU 粤/NR 水电/NN 副总经理/NN 王伟导/NR 、/PU 副总工程师/NN 、/PU 工程/NN 管理部/NN 经理/NN 石爱军/NR 及/CC 工程/NN 建设/NN 公司/NN 粤东/NR 区域/NN 重点/NN 工程/NN 项目/NN 部/NN 相关/JJ 人员/NN 参加/VV 调研/NN 
中国企业联合会	刘兴国	 	中国 企业 联合会 	研究员 	刘兴国 	也 对 《 经济 参考 报 》 记者 表示 ， 当前 针对 民企 的 调研 就是 要 弄清 民间 投资 与 民企 发展 的 主要 障碍 ， 以便 后续 有 针对性 地 出台 政策 举措 	 	中国/NR 企业/NN 联合会/NN 	研究员/NN 	刘兴国/NR 	也/AD 对/P 《/PU 经济/NN 参考/NN 报/NN 》/PU 记者/NN 表示/VV ，/PU 当前/NT 针对/P 民企/NN 的/DEG 调研/NN 就是/AD 要/VV 弄清/VV 民间/NN 投资/NN 与/CC 民企/NN 发展/NN 的/DEG 主要/JJ 障碍/NN ，/PU 以便/AD 后续/AD 有/VE 针对性/NN 地/DEV 出台/VV 政策/NN 举措/NN 
张宏永	太原贵金属公司	 	张宏永 	副主任 在 中海 油 	太原 贵 金属 公司 	入 企 服务 时 ， 及时 向 企业 传达 了 省委 省政府 有关 文件 精神 ， 对 产品 生产线 及 新 搬迁 厂区 进行 调研 检查 ， 要求 对 薄弱 环节 、 关键 岗位 进行 自查 ， 认真 梳理 风险 点 ， 坚决 防范 化解 各 类 重大 风险 	 	张宏永/NR 	副主任/NN 在/P 中海/NR 油/NN 	太原/NR 贵/NN 金属/NN 公司/NN 	入/VV 企/NN 服务/NN 时/LC ，/PU 及时/AD 向/P 企业/NN 传达/VV 了/AS 省委/NN 省政府/NN 有关/JJ 文件/NN 精神/NN ，/PU 对/P 产品/NN 生产线/NN 及/CC 新/JJ 搬迁/JJ 厂区/NN 进行/VV 调研/NN 检查/NN ，/PU 要求/VV 对/P 薄弱/JJ 环节/NN 、/PU 关键/NN 岗位/NN 进行/VV 自查/NN ，/PU 认真/AD 梳理/VV 风险/NN 点/NN ，/PU 坚决/AD 防范/VV 化解/VV 各/DT 类/M 重大/JJ 风险/NN 
北勘公司	王海渤	公司 领导 到 石家庄 综合 保税区 标准化 仓库 建设 项目 检查 调研 工作 2018年 4月 25日 ， 	北勘 公司 	副总经理 陆洪根 、 生产 运 营部 主任 王永正 、 科技 质量 与 安全部 副主任 黄彬 、 科技 质量 与 安全部 张春辉 一行 四 人 到 石家庄 综合 保税区 标准化 保税 仓库 建设 项目 一 期 工程 进行 检查 调研 ， 第一 勘察 设计 研究所 副所长 	王海渤 	及 项目 人员 张晓畅 、 杜新鹏 陪同 并 做 详细 讲解 	公司/NN 领导/VV 到/VV 石家庄/NR 综合/VV 保税区/NN 标准化/NN 仓库/NN 建设/NN 项目/NN 检查/NN 调研/NN 工作/NN 2018年/NT 4月/NT 25日/NT ，/PU 	北勘/NR 公司/NN 	副总经理/NN 陆洪根/NR 、/PU 生产/VV 运/NN 营部/NN 主任/NN 王永正/NR 、/PU 科技/NN 质量/NN 与/CC 安全部/NN 副主任/NN 黄彬/NR 、/PU 科技/NN 质量/NN 与/CC 安全部/NN 张春辉/NR 一行/NN 四/CD 人/NN 到/VV 石家庄/NR 综合/VV 保税区/NN 标准化/NN 保税/JJ 仓库/NN 建设/NN 项目/NN 一/CD 期/M 工程/NN 进行/VV 检查/NN 调研/NN ，/PU 第一/OD 勘察/NN 设计/NN 研究所/NN 副所长/NN 	王海渤/NR 	及/CC 项目/NN 人员/NN 张晓畅/NR 、/PU 杜新鹏/NR 陪同/VV 并/AD 做/VV 详细/VA 讲解/VV 
三峡集团	乌兰察布	 	三峡 集团 	负责人 王良友 一行 来到 	乌兰察布 	， 调研 考察 并 洽谈 与 	 	三峡/NR 集团/NN 	负责人/NN 王良友/NR 一行/NN 来到/VV 	乌兰察布/NR 	，/PU 调研/NN 考察/VV 并/CC 洽谈/VV 与/CC 
张宪宝	波瑞公司	总经理 姜涛 、 监事会 主席 张文涛 、 副总经理 姬剑锷 、 副总经理 	张宪宝 	， 爱 	波瑞 公司 	董事长 王洪艳 、 总裁 王德强 等 领导 陪同 调研 和 座谈 	总经理/NN 姜涛/NR 、/PU 监事会/NN 主席/NN 张文涛/NR 、/PU 副总经理/NN 姬剑锷/NR 、/PU 副总经理/NN 	张宪宝/NR 	，/PU 爱/NN 	波瑞/NR 公司/NN 	董事长/NN 王洪艳/NR 、/PU 总裁/NN 王德强/NR 等/ETC 领导/NN 陪同/VV 调研/VV 和/CC 座谈/VV 
翁杰明	中铝集团	 	翁杰明 	在 调研 	中铝 集团 	有关 企业 时 指出 ， 	 	翁杰明/NR 	在/P 调研/NN 	中铝/NR 集团/NN 	有关/JJ 企业/NN 时/LC 指出/VV ，/PU 
周旭	重庆缙融资本运营管理有限公司	记者 曾晓隆 2月 19日 ， 区委 书记 	周旭 	前往 	重庆 缙融 资本 运营 管理 有限 公司 	， 调研 督导 国企 改革 工作 ， 并 召开 座谈会 	记者/NN 曾晓隆/NR 2月/NT 19日/NT ，/PU 区委/NN 书记/NN 	周旭/NR 	前往/VV 	重庆/NR 缙融/NN 资本/NN 运营/NN 管理/NN 有限/JJ 公司/NN 	，/PU 调研/VV 督导/NN 国企/NN 改革/NN 工作/NN ，/PU 并/CC 召开/VV 座谈会/NN 
肖亚庆	空客天津总装公司	九 、 	肖亚庆 	强调 中央 企业 要 履行 职责 使命 推动 企业 高 质量 发展 事件 ： 7月 24日 ， 国资委 主任 	空客 天津 总装 公司 	 	九/CD 、/PU 	肖亚庆/NR 	强调/VV 中央/NN 企业/NN 要/VV 履行/VV 职责/NN 使命/NN 推动/VV 企业/NN 高/JJ 质量/NN 发展/NN 事件/NN ：/PU 7月/NT 24日/NT ，/PU 国资委/NN 主任/NN 	空客/NR 天津/NR 总装/NN 公司/NN 	 
孟华强	铀业公司	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 	孟华强 	、 中广 核 办公厅 主任 胡光耀 、 	铀业 公司 	总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 中 交 集团 副总经理 王海怀 等 一同 参加 调研 和 座谈 	国资委/NN 产权/NN 管理局/NN 局长/NN 贾立克/NR 、/PU 国际/NN 合作局/NN 局长/NN 殷长波/NR 、/PU 规划/NN 发展局/NN 副局长/NN 	孟华强/NR 	、/PU 中广/NR 核/NN 办公厅/NN 主任/NN 胡光耀/NR 、/PU 	铀业/NN 公司/NN 	总经理/NN 安军靖/NR 、/PU 斯科/NR 公司/NN 总经理/NN 蔡于胜/NR 、/PU 中/NR 交/NN 集团/NN 副总经理/NN 王海怀/NR 等/ETC 一同/AD 参加/VV 调研/NN 和/CC 座谈/NN 
